City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,alofi,-19.0595,-169.9187,25.94,89,100,5.66,NU,1699922986
173,guiratinga,-16.3494,-53.7583,27.16,33,5,1.89,BR,1699922986
174,stanley,54.868,-1.6985,8.77,90,20,6.17,GB,1699922986
175,okha,53.5739,142.9478,-3.64,73,100,5.47,RU,1699922986
176,subusub,16.227,120.4947,28.17,66,100,1.33,PH,1699922986
177,bamboo flat,11.7,92.7167,26.05,89,100,3.6,IN,1699922986
178,dryden,49.7833,-92.7503,1.16,80,40,2.57,CA,1699922987
179,lompoc,34.6391,-120.4579,18.94,67,0,4.12,US,1699922987
180,westport,41.1415,-73.3579,7.11,77,12,0.45,US,1699922716
181,viedma,-40.8135,-62.9967,19.53,24,94,7.68,AR,1699922987
182,igarka,67.4667,86.5833,-15.33,90,86,7.64,RU,1699922987
183,egilsstadir,65.2653,-14.3948,1.95,87,75,4.63,IS,1699922988
184,ilhabela,-23.7781,-45.3581,25.2,88,48,0.91,BR,1699922903
185,nouadhibou,20.931,-17.0347,23.99,38,13,6.17,MR,1699922988
186,panjab,34.388,67.0233,-1.12,39,0,1.32,AF,1699922988
187,amos,48.5669,-78.1162,0.72,99,100,2.43,CA,1699922703
188,talnakh,69.4865,88.3972,-17.4,97,52,4.55,RU,1699922988
189,barcelos,41.5388,-8.6151,18.08,90,98,3.63,PT,1699922918
190,gillette,44.2911,-105.5022,15.51,15,0,10.29,US,1699922742
191,sampit,-2.5333,112.95,28.35,77,34,1.23,ID,1699922989
192,santa ana,33.7456,-117.8678,25.29,50,75,3.09,US,1699922884
193,polyarnyy,69.1989,33.4478,-8.84,96,86,0.86,RU,1699922989
194,hamilton,39.1834,-84.5333,11.08,50,0,2.06,US,1699922965
195,sitka,57.0531,-135.33,5.94,81,100,3.6,US,1699922925
196,olonkinbyen,70.9221,-8.7187,-1.67,70,99,2.65,SJ,1699922989
197,olawa,50.9466,17.2926,8.94,76,85,7.74,PL,1699922977
198,loikaw,19.6742,97.2094,19.49,95,100,0.3,MM,1699922989
199,tura,25.5198,90.2201,18.81,84,6,1.44,IN,1699922728
200,aksu,41.1231,80.2644,3.09,43,0,1.66,CN,1699922990
201,boise,43.6135,-116.2035,12.66,59,100,1.07,US,1699922955
202,tazovsky,67.4667,78.7,-20.04,98,19,2.7,RU,1699922695
203,kostomuksha,64.571,30.5767,-7.2,94,100,4.92,RU,1699922990
204,tshabong,-26.05,22.45,22.7,16,19,5.09,BW,1699922990
205,atar,20.5169,-13.0499,26.75,13,5,4.65,MR,1699922990
206,albany,42.6001,-73.9662,2.41,76,93,0.72,US,1699922969
207,cidreira,-30.1811,-50.2056,20.21,97,100,1.69,BR,1699922691
208,les sables-d'olonne,46.6667,-1.8333,15.44,83,100,7.7,FR,1699922991
209,cheria,35.2731,7.7519,8.12,62,0,0.59,DZ,1699922991
210,owando,-0.4819,15.8999,21.98,97,93,0.68,CG,1699922991
211,grand falls-windsor,48.9332,-55.6649,-2.93,88,41,1.94,CA,1699922991
212,palikir - national government center,6.9248,158.1611,31.41,70,100,2.57,FM,1699922991
213,bredasdorp,-34.5322,20.0403,14.81,81,9,7.13,ZA,1699922992
214,aban,56.67,96.06,-0.07,95,100,6.32,RU,1699922992
215,hilo,19.7297,-155.09,27.85,67,40,3.6,US,1699922992
216,tanaina,61.6269,-149.4281,-2.6,91,0,0.0,US,1699922992
217,ponta delgada,37.7333,-25.6667,17.4,88,40,6.69,PT,1699922992
218,solnechnyy,50.7214,136.6319,-14.43,72,9,1.05,RU,1699922992
219,ad-damazin,11.7891,34.3592,27.4,52,4,1.22,SD,1699922992
220,ribeira brava,32.65,-17.0667,21.35,78,9,1.0,PT,1699922992
221,primero de mayo,-32.2552,-58.4228,16.42,76,100,4.34,AR,1699922993
222,malaya vishera,58.8454,32.2222,0.95,97,100,3.03,RU,1699922993
223,as sulayyil,20.4607,45.5779,20.14,44,63,3.75,SA,1699922993
224,cabo san lucas,22.8909,-109.9124,29.17,62,0,2.06,MX,1699922687
225,ghadamis,30.1337,9.5007,17.82,45,0,3.73,LY,1699922993
226,igarape miri,-1.975,-48.9597,26.31,78,23,2.35,BR,1699922993
227,kavieng,-2.5744,150.7967,28.64,67,100,0.97,PG,1699922993
228,port mathurin,-19.6833,63.4167,24.05,94,20,0.0,MU,1699922994
229,tazacorte,28.629,-17.9293,23.97,38,0,4.63,ES,1699922702
230,gaiman,-43.2897,-65.4929,15.28,18,90,14.74,AR,1699922823
231,palu,-0.8917,119.8707,30.1,70,78,0.23,ID,1699922994
232,abra pampa,-22.7205,-65.697,15.02,15,0,7.91,AR,1699922994
233,magole,-6.3667,37.3667,22.8,92,87,0.94,TZ,1699922994
234,yanam,16.7333,82.2167,25.04,75,77,3.39,IN,1699922994
235,tabatinga,-4.2525,-69.9381,25.05,100,20,0.0,BR,1699922995
236,sanming,26.2486,117.6186,13.1,87,100,1.24,CN,1699922995
237,lae,-6.7221,146.9847,29.37,73,100,1.2,PG,1699922995
238,tolanaro,-25.0319,46.9987,22.04,88,40,2.06,MG,1699922995
239,belyy yar,53.6039,91.3903,-7.06,93,100,0.0,RU,1699922995
240,cape coast,5.1053,-1.2466,26.34,87,0,2.43,GH,1699922995
241,paita,-5.0892,-81.1144,20.6,83,10,7.91,PE,1699922996
242,northam,51.0333,-4.2167,12.92,91,100,11.18,GB,1699922996
243,andreapol',56.6513,32.2664,0.49,97,100,3.83,RU,1699922996
244,urzhar,47.093,81.6294,-0.06,78,19,1.43,KZ,1699922996
245,portland,45.5234,-122.6762,12.59,80,100,1.34,US,1699922577
246,kerikeri,-35.2268,173.9474,22.17,68,100,1.34,NZ,1699922996
247,blackfoot,43.1905,-112.345,12.45,31,100,1.85,US,1699922996
248,saint-philippe,-21.3585,55.7679,21.77,80,58,3.22,RE,1699922997
249,alice springs,-23.7,133.8833,32.75,15,4,3.6,AU,1699922997
250,achinsk,56.2694,90.4993,1.22,85,100,4.92,RU,1699922997
251,colares,38.7992,-9.4469,16.85,91,100,4.02,PT,1699922997
252,greenville,35.6127,-77.3663,8.01,94,0,0.0,US,1699922720
253,hami,42.8,93.45,2.54,30,99,3.89,CN,1699922796
254,vila velha,-20.3297,-40.2925,26.97,84,0,6.26,BR,1699922844
255,lorengau,-2.0226,147.2712,27.96,80,100,2.86,PG,1699922998
256,salinopolis,-0.6136,-47.3561,26.69,80,62,4.92,BR,1699922998
257,flying fish cove,-10.4217,105.6791,25.82,78,100,3.6,CX,1699922700
258,fort mcmurray,56.7268,-111.381,-3.23,86,100,2.57,CA,1699922754
259,kingston,17.997,-76.7936,28.53,80,20,7.72,JM,1699922998
260,vila franca do campo,37.7167,-25.4333,17.23,99,67,1.85,PT,1699922998
261,nagqu,31.5,92.0,-7.66,39,100,1.96,CN,1699922998
262,bardai,11.65,7.2333,21.64,23,100,3.25,NG,1699922840
263,vilyuysk,63.7553,121.6247,-14.89,97,100,2.15,RU,1699922954
264,kolonia,50.9333,6.95,12.68,76,20,7.72,DE,1699922726
265,mount isa,-20.7333,139.5,35.87,17,0,6.17,AU,1699922999
266,maroua,10.591,14.3159,27.09,44,98,0.48,CM,1699922999
267,quellon,-43.1167,-73.6167,4.84,78,84,3.58,CL,1699922999
268,santiago de cao,-7.9589,-79.2392,19.07,88,60,5.66,PE,1699922999
269,muntok,-2.0667,105.1833,28.48,74,66,2.32,ID,1699922999
270,holmestrand,59.4876,10.3176,-0.34,48,100,4.88,NO,1699923000
271,yeppoon,-23.1333,150.7333,28.88,54,0,5.66,AU,1699923000
272,mae chan,20.1467,99.8526,22.35,96,44,0.56,TH,1699923000
273,belogorsk,50.9158,128.4611,-8.81,77,29,1.6,RU,1699923000
274,sur,22.5667,59.5289,23.86,52,3,0.19,OM,1699923000
275,aykhal,66.0,111.5,-9.03,92,100,4.89,RU,1699923000
